Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
9188469750,"Jun 1, 2023, 11:04:48 PM",Morning Run,Run,,55652,0.89,,,false,,,activities/9188469750.gpx,,,55652.0,380.0,898.1699829101562,5.177999973297119,2.363605260848999,5.5,1.7000000476837158,8.399999618530273,13.899999618530273,44.31824493408203,0.42308250069618225,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,909.7999877929688,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.016139041632413864,0.0,,,,770.0,,,,,,,,""
9191370757,"Jun 3, 2023, 1:54:19 AM",Evening Run,Run,,2106,5.18,,,false,,,activities/9191370757.gpx,,,2106.0,1960.0,5184.7001953125,4.913340091705322,2.6452550888061523,27.047595977783203,25.447595596313477,3.5,22.600000381469727,25.019546508789062,0.03086002916097641,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,51.0,0.0,,1.0,5249.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.4618709087371826,4379.89990234375,,,,4818.0,,,,,,,,""
9221025725,"Jun 7, 2023, 4:13:01 PM",Morning Run,Run,,1990,4.93,,,false,,,activities/9221025725.gpx,,,1990.0,1933.0,4932.330078125,4.314000129699707,2.551645040512085,29.321578979492188,28.421579360961914,3.799999952316284,24.0,16.84705352783203,0.018246954306960106,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4981.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.478557825088501,4358.5,,,,4868.0,,,,,,,,""
9233354669,"Jun 9, 2023, 3:18:15 PM",Morning Run,Run,"",2128,4.72,,,false,,HOKA Speedgoat 5 BOOM BOOMS,activities/9233354669.gpx,,,2128.0,1826.0,4723.5,10.752666473388672,2.586801767349243,32.495262145996094,30.095300674438477,-6.0,11.800000190734863,46.49055099487305,0.05080978199839592,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4965.60009765625,,,,,,,,,,,,,,,,13706616.0,,,,,,,,,,0.0,2.2196898460388184,3707.199951171875,,,,4540.0,,,,,,,,""
9239794296,"Jun 10, 2023, 3:00:20 PM",Morning Run,Run,,2469,5.38,,,false,,HOKA Speedgoat 5 BOOM BOOMS,activities/9239794296.gpx,,,2469.0,2398.0,5382.56005859375,7.328000068664551,2.2446038722991943,47.025352478027344,40.7253532409668,-5.099999904632568,22.200000762939453,47.577091217041016,0.11704467982053757,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5549.2998046875,,,,,,,,,,,,,,,,13706616.0,,,,,,,,,,0.0,2.1800568103790283,4897.5,,,,5550.0,,,,,,,,""
9251405070,"Jun 12, 2023, 1:01:00 PM",Morning Run,Run,,3278,7.18,,,false,,HOKA Speedgoat 5 BOOM BOOMS,activities/9251405070.gpx,,,3278.0,3233.0,7182.64990234375,3.6259765625,2.2216670513153076,36.1724853515625,46.6724853515625,-1.2999999523162842,25.700000762939453,46.67874526977539,-0.14618560671806335,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,7308.10009765625,,,,,,,,,,,,,,,,13706616.0,,,,,,,,,,0.0,2.1911683082580566,7129.39990234375,,,,7636.0,,,,,,,,""
9284110562,"Jun 17, 2023, 4:55:24 PM",Morning Run,Run,,2341,5.95,,,false,,HOKA Speedgoat 5 BOOM BOOMS,activities/9284110562.gpx,,,2341.0,2303.0,5957.1298828125,4.105999946594238,2.5866825580596924,3.0,3.5,3.4000000953674316,6.400000095367432,1.9980000257492065,-0.008393303491175175,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5959.5,,,,,,,,,,,,,,,,13706616.0,,,,,,,,,,0.0,2.544694423675537,4450.7001953125,,,,5862.0,,,,,,,,""
9309030421,"Jun 21, 2023, 5:11:26 PM",Morning Walk,Walk,,2023,4.65,,,false,,,activities/9309030421.gpx,,,2023.0,2023.0,4652.81005859375,3.666015625,2.2999556064605713,0.0,0.0,3.4000000953674316,4.400000095367432,1.9626728296279907,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.2999556064605713,4418.0,,,,4812.0,,,,,,,,""
9316472120,"Jun 22, 2023, 9:25:43 PM",Afternoon Run,Run,,4296,4.39,,,false,,HOKA Speedgoat 5 BOOM BOOMS,activities/9316472120.gpx,,,4296.0,4289.0,4396.64990234375,8.642857551574707,1.0250990390777588,101.09599304199219,117.19599151611328,3.799999952316284,102.5999984741211,49.56278991699219,-0.3661879003047943,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4913.0,,,,,,,,,,,,,,,,13706616.0,,,,,,,,,,0.0,1.0234287977218628,205.0,,,,5076.0,,,,,,,,""
9337236912,"Jun 26, 2023, 11:28:00 AM",Morning Run,Run,,1408,3.48,,,false,,HOKA Speedgoat 5 BOOM BOOMS,activities/9337236912.gpx,,,1408.0,1363.0,3485.449951171875,3.859999656677246,2.55718994140625,20.29465675354004,20.894657135009766,399.29998779296875,412.8999938964844,28.712766647338867,-0.017214419320225716,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3539.39990234375,1687777152.0,3.0,17.860000610351562,18.190000534057617,15.789999961853027,0.8799999952316284,1003.5999755859375,4.539999961853027,11.039999961853027,176.0,0.0,1687772544.0,1687827456.0,0.25,,13706616.0,0.7300000190734863,5.0,0.8799999952316284,17239.169921875,0.0,,,,,0.0,2.475461721420288,0.0,,,,3400.0,,,,,,,,""
